login_count,activity_count,resources_viewed,days_inactive,average_grade,assignments_submitted,forum_posts,completion_rate,quiz_attempts_count,dropout
1.0,4,3.0,999,0.0,0,0,0.0,0,1
4.0,85,74.0,1298,15.0,0,0,1.0,1,0
2.0,26,20.0,999,0.0,0,0,0.85714,0,1
1.0,35,27.0,1298,20.0,0,0,1.0,1,1
27.0,361,312.0,999,0.0,2,0,1.0,0,0
25.0,306,258.0,999,8.0,2,0,1.0,2,0
1.0,7,6.0,999,0.0,0,0,0.0,0,1
3.0,50,40.0,1298,17.0,0,0,1.0,1,0
2.0,6,4.0,999,0.0,0,0,0.0,0,1
10.0,148,129.0,879,0.0,2,0,1.0,0,0
1.0,4,3.0,999,0.0,0,0,0.0,0,1
6.0,141,126.0,1297,19.66667,0,0,1.0,1,0
1.0,29,23.0,1298,18.66667,0,0,0.0,1,1
1.0,3,2.0,999,0.0,0,0,0.0,0,1
2.0,7,3.0,999,0.0,0,0,0.0,0,1
1.0,3,1.0,999,0.0,0,0,0.0,0,1
1.0,6,4.0,1877,0.0,0,0,0.0,0,1
2.0,11,9.0,999,0.0,0,0,0.0,0,1
1.0,6,3.0,999,0.0,0,0,0.0,0,1
1.0,2,1.0,999,0.0,0,0,0.0,0,1
64.0,447,354.0,1457,7.0,5,0,0.83333,2,0
19.0,248,202.0,999,0.0,2,0,0.66667,0,0
1.0,3,2.0,1763,0.0,0,0,0.0,0,1
1.0,6,3.0,999,0.0,0,0,0.0,0,1
1.0,9,8.0,1647,0.0,0,0,1.0,0,1
4.0,120,99.0,1517,0.0,2,0,1.0,1,0
9.0,34,23.0,999,0.0,0,0,0.0,0,1
1.0,4,1.0,999,0.0,0,0,0.0,0,1
960.0,1721,749.0,763,0.0,7,0,0.35294,0,0
2.0,23,16.0,1706,0.0,0,0,0.0,0,1
9.0,49,32.0,625,0.0,0,0,0.0,0,1
20.0,316,276.0,1457,2.0,8,0,1.0,1,0
68.0,623,523.0,1508,17.694005714,0,0,0.0,10,0
1.0,6,5.0,1909,0.0,0,0,1.0,0,1
1.0,2,1.0,999,0.0,0,0,0.0,0,1
1.0,16,10.0,1659,0.0,0,0,0.0,0,1
1.0,4,3.0,1760,23.416665,0,0,0.73333,1,1
28.0,341,280.0,1786,0.0,2,0,0.66667,0,0
35.0,371,306.0,999,0.0,0,0,1.0,0,1
46.0,527,452.0,175,15.311113333,19,0,0.90476,2,0
24.0,379,321.0,1513,0.0,0,0,0.0,0,1
34.0,336,287.0,912,0.0,7,0,1.0,0,0
41.0,569,500.0,871,0.0,2,0,0.66667,0,0
2.0,7,5.0,1658,0.0,0,0,1.0,0,1
19.0,266,235.0,915,0.0,8,0,1.0,0,0
3.0,24,17.0,1690,0.0,0,0,0.0,0,1
98.0,901,765.0,174,9.55,23,0,1.0,3,0
1.0,14,9.0,999,0.0,0,0,0.0,0,1
2.0,22,18.0,1810,0.0,0,0,1.0,0,1
31.0,215,171.0,1374,0.0,5,0,1.0,0,0
7.0,25,18.0,1590,0.0,0,0,0.0,0,1
48.0,396,315.0,999,0.0,0,0,0.0,0,1
1.0,4,2.0,1786,0.0,0,0,1.0,0,1
44.0,563,500.0,1535,0.0,0,0,0.0,0,1
1.0,8,7.0,1029,5.6,0,0,0.0,4,1
3.0,60,55.0,1722,0.0,0,0,0.0,0,1
35.0,307,243.0,1583,0.0,0,0,1.0,0,1
1.0,3,2.0,999,0.0,0,0,0.0,0,1
1.0,3,2.0,999,0.0,0,0,0.0,0,1
41.0,482,413.0,1475,0.0,0,0,0.47368,1,0
49.0,508,402.0,1936,0.0,2,0,1.0,0,0
1.0,3,2.0,1920,0.0,0,0,0.0,0,1
25.0,218,165.0,999,0.0,1,0,0.5,1,0
44.0,483,416.0,852,0.0,2,0,1.0,0,0
1.0,5,3.0,1602,0.0,0,0,1.0,0,1
30.0,313,263.0,1933,0.0,2,0,1.0,0,0
42.0,645,566.0,178,7.26667,24,0,0.96429,2,0
3.0,14,11.0,1720,0.0,0,0,0.0,0,1
1.0,8,7.0,1733,0.0,0,0,0.0,0,1
1.0,3,1.0,999,0.0,0,0,0.0,0,1
1.0,2,1.0,999,0.0,0,0,0.0,0,1
3.0,9,3.0,999,0.0,0,0,0.0,0,1
8.0,41,27.0,999,0.0,0,0,0.0,0,1
1.0,8,6.0,999,0.0,0,0,0.0,0,1
1.0,4,3.0,999,0.0,0,0,0.0,0,1
2.0,8,5.0,999,0.0,0,0,0.0,0,1
1.0,2,1.0,999,0.0,0,0,0.0,0,1
1.0,2,1.0,999,0.0,0,0,0.0,0,1
1.0,6,5.0,999,0.0,0,0,0.0,0,1
1.0,4,2.0,999,0.0,0,0,0.0,0,1
19.0,200,161.0,1475,0.0,2,0,1.0,1,0
17.0,318,275.0,999,0.0,2,0,1.0,0,0
21.0,300,241.0,854,20.0,2,0,1.0,1,0
1.0,9,8.0,999,0.0,0,0,0.0,0,1
