userid,activity_count,login_count,resources_viewed,days_inactive,average_grade,assignments_submitted,forum_posts,completion_rate,quiz_attempts_count
1954,9,3.0,5.0,999,0.0,0,0,0.0,0
1984,179,19.0,150.0,1606,0.0,5,0,1.0,0
2218,4,1.0,2.0,999,0.0,0,0,0.0,0
2579,312,35.0,263.0,269,0.0,7,0,1.0,0
4044,475,60.0,396.0,1605,0.0,6,0,0.85714,0
4247,14,3.0,7.0,999,0.0,0,0,0.0,0
4667,4,1.0,1.0,999,0.0,0,0,0.0,0
4736,265,30.0,221.0,1605,0.0,5,0,1.0,0
5428,2,1.0,1.0,999,0.0,0,0,0.0,0
5556,350,33.0,300.0,1606,0.0,5,0,1.0,0
5890,16,1.0,14.0,999,0.0,0,0,0.0,0
6113,12,1.0,9.0,999,0.0,0,0,0.0,0
6163,216,30.0,177.0,1604,0.0,5,0,0.8,0
6422,9,1.0,6.0,999,0.0,0,0,0.0,0
6834,12,2.0,8.0,999,0.0,0,0,0.0,0
7057,2,1.0,1.0,999,0.0,0,0,0.0,0
7198,5,2.0,2.0,999,0.0,0,0,0.0,0
7496,492,73.0,402.0,1277,0.0,6,0,1.0,0
7534,32,3.0,29.0,1388,0.0,0,0,1.0,0
8295,530,49.0,457.0,1581,0.0,0,0,1.0,0
8424,2,1.0,1.0,999,0.0,0,0,0.0,0
8612,2,1.0,1.0,999,0.0,0,0,0.0,0
8968,294,39.0,244.0,1604,0.0,6,0,1.0,0
9046,226,26.0,188.0,1606,0.0,5,0,1.0,0
9048,17,1.0,11.0,999,0.0,0,0,0.0,0
9052,353,44.0,291.0,1608,0.0,6,0,1.0,0
9086,9,1.0,4.0,999,0.0,0,0,0.0,0
9107,310,31.0,267.0,1606,0.0,6,0,1.0,0
9108,124,17.0,101.0,1616,0.0,2,0,1.0,0
9151,159,23.0,124.0,1606,0.0,6,0,1.0,0
9233,2,1.0,1.0,999,0.0,0,0,0.0,0
9241,102,6.0,96.0,1582,0.0,0,0,0.0,0
9710,212,13.0,188.0,999,0.0,0,0,0.0,0
9714,544,58.0,437.0,1457,5.0,8,0,1.0,1
9717,211,21.0,165.0,999,0.0,0,0,0.0,0
9728,28,6.0,17.0,999,0.0,0,0,0.0,0
9731,4,1.0,3.0,999,0.0,0,0,0.0,0
9733,141,12.0,109.0,999,0.0,0,0,0.0,0
9749,30,5.0,25.0,1726,0.0,0,0,0.0,0
9759,4,2.0,2.0,999,0.0,0,0,0.9,0
9769,264,25.0,209.0,999,0.0,0,0,0.0,0
9785,1663,206.0,1413.0,1471,22.56016,1,0,0.25,10
9790,237,15.0,200.0,891,0.0,2,0,1.0,0
9791,237,8.0,209.0,1937,0.0,2,0,1.0,0
9792,272,17.0,234.0,1936,0.0,2,0,1.0,0
9818,13,1.0,12.0,999,0.0,0,0,0.0,0
9835,4,1.0,3.0,999,0.0,0,0,0.0,0
9887,85,4.0,74.0,1298,15.0,0,0,1.0,1
9890,26,2.0,20.0,999,0.0,0,0,0.85714,0
9904,35,1.0,27.0,1298,20.0,0,0,1.0,1
9905,361,27.0,312.0,999,0.0,2,0,1.0,0
9907,306,25.0,258.0,999,8.0,2,0,1.0,2
9909,7,1.0,6.0,999,0.0,0,0,0.0,0
9915,50,3.0,40.0,1298,17.0,0,0,1.0,1
9925,6,2.0,4.0,999,0.0,0,0,0.0,0
9931,148,10.0,129.0,879,0.0,2,0,1.0,0
9933,4,1.0,3.0,999,0.0,0,0,0.0,0
9942,141,6.0,126.0,1297,19.66667,0,0,1.0,1
9943,29,1.0,23.0,1298,18.66667,0,0,0.0,1
10093,3,1.0,2.0,999,0.0,0,0,0.0,0
10470,7,2.0,3.0,999,0.0,0,0,0.0,0
10475,3,1.0,1.0,999,0.0,0,0,0.0,0
10598,6,1.0,4.0,1877,0.0,0,0,0.0,0
10814,11,2.0,9.0,999,0.0,0,0,0.0,0
10831,6,1.0,3.0,999,0.0,0,0,0.0,0
10883,2,1.0,1.0,999,0.0,0,0,0.0,0
10936,447,64.0,354.0,1457,7.0,5,0,0.83333,2
10943,248,19.0,202.0,999,0.0,2,0,0.66667,0
10945,3,1.0,2.0,1763,0.0,0,0,0.0,0
10953,6,1.0,3.0,999,0.0,0,0,0.0,0
10971,9,1.0,8.0,1647,0.0,0,0,1.0,0
10976,120,4.0,99.0,1517,0.0,2,0,1.0,1
10992,34,9.0,23.0,999,0.0,0,0,0.0,0
11005,4,1.0,1.0,999,0.0,0,0,0.0,0
11042,1721,960.0,749.0,763,0.0,7,0,0.35294,0
11046,23,2.0,16.0,1706,0.0,0,0,0.0,0
11071,49,9.0,32.0,625,0.0,0,0,0.0,0
11083,316,20.0,276.0,1457,2.0,8,0,1.0,1
11085,623,68.0,523.0,1508,17.694005714,0,0,0.0,10
11127,6,1.0,5.0,1909,0.0,0,0,1.0,0
11140,2,1.0,1.0,999,0.0,0,0,0.0,0
11160,16,1.0,10.0,1659,0.0,0,0,0.0,0
11162,4,1.0,3.0,1760,23.416665,0,0,0.73333,1
11189,341,28.0,280.0,1786,0.0,2,0,0.66667,0
11192,371,35.0,306.0,999,0.0,0,0,1.0,0
11194,527,46.0,452.0,175,15.311113333,19,0,0.90476,2
11196,379,24.0,321.0,1513,0.0,0,0,0.0,0
11217,336,34.0,287.0,912,0.0,7,0,1.0,0
11256,569,41.0,500.0,871,0.0,2,0,0.66667,0
11278,7,2.0,5.0,1658,0.0,0,0,1.0,0
11291,266,19.0,235.0,915,0.0,8,0,1.0,0
11292,24,3.0,17.0,1690,0.0,0,0,0.0,0
11330,901,98.0,765.0,174,9.55,23,0,1.0,3
11335,14,1.0,9.0,999,0.0,0,0,0.0,0
11349,22,2.0,18.0,1810,0.0,0,0,1.0,0
11380,215,31.0,171.0,1374,0.0,5,0,1.0,0
11383,25,7.0,18.0,1590,0.0,0,0,0.0,0
11417,396,48.0,315.0,999,0.0,0,0,0.0,0
11427,4,1.0,2.0,1786,0.0,0,0,1.0,0
11434,563,44.0,500.0,1535,0.0,0,0,0.0,0
11444,8,1.0,7.0,1029,5.6,0,0,0.0,4
11458,60,3.0,55.0,1722,0.0,0,0,0.0,0
11463,307,35.0,243.0,1583,0.0,0,0,1.0,0
11489,3,1.0,2.0,999,0.0,0,0,0.0,0
11490,3,1.0,2.0,999,0.0,0,0,0.0,0
11491,482,41.0,413.0,1475,0.0,0,0,0.47368,1
11508,508,49.0,402.0,1936,0.0,2,0,1.0,0
11509,3,1.0,2.0,1920,0.0,0,0,0.0,0
11545,218,25.0,165.0,999,0.0,1,0,0.5,1
11552,483,44.0,416.0,852,0.0,2,0,1.0,0
11565,5,1.0,3.0,1602,0.0,0,0,1.0,0
11580,313,30.0,263.0,1933,0.0,2,0,1.0,0
11594,645,42.0,566.0,178,7.26667,24,0,0.96429,2
11601,14,3.0,11.0,1720,0.0,0,0,0.0,0
11617,8,1.0,7.0,1733,0.0,0,0,0.0,0
11846,3,1.0,1.0,999,0.0,0,0,0.0,0
11863,2,1.0,1.0,999,0.0,0,0,0.0,0
11944,9,3.0,3.0,999,0.0,0,0,0.0,0
11951,41,8.0,27.0,999,0.0,0,0,0.0,0
11957,8,1.0,6.0,999,0.0,0,0,0.0,0
11976,4,1.0,3.0,999,0.0,0,0,0.0,0
12025,8,2.0,5.0,999,0.0,0,0,0.0,0
12040,2,1.0,1.0,999,0.0,0,0,0.0,0
12086,2,1.0,1.0,999,0.0,0,0,0.0,0
12095,6,1.0,5.0,999,0.0,0,0,0.0,0
12118,4,1.0,2.0,999,0.0,0,0,0.0,0
12323,200,19.0,161.0,1475,0.0,2,0,1.0,1
12360,318,17.0,275.0,999,0.0,2,0,1.0,0
12500,300,21.0,241.0,854,20.0,2,0,1.0,1
12610,9,1.0,8.0,999,0.0,0,0,0.0,0
12647,4,2.0,2.0,999,0.0,0,0,0.0,0
12747,27,8.0,15.0,999,0.0,0,0,0.0,0
13180,10,2.0,8.0,1588,0.0,0,0,1.0,0
13336,7,2.0,5.0,999,0.0,0,0,0.0,0
13422,7,1.0,6.0,999,0.0,0,0,0.0,0
13507,319,15.0,274.0,999,0.0,2,0,1.0,0
13638,6,2.0,4.0,999,0.0,0,0,0.0,0
13664,30,2.0,24.0,999,0.0,0,0,0.0,0
13680,354,37.0,296.0,1514,0.0,2,0,1.0,1
13687,208,20.0,174.0,999,0.0,0,0,1.0,0
13752,3,1.0,1.0,999,0.0,0,0,0.0,0
14060,3,1.0,2.0,1725,0.0,0,0,0.0,0
14072,10,2.0,5.0,999,0.0,0,0,0.0,0
14268,15,3.0,7.0,1720,0.0,0,0,0.0,0
14326,3,1.0,1.0,999,0.0,0,0,0.0,0
14402,16,3.0,7.0,1722,0.0,0,0,0.0,0
14437,3,1.0,2.0,1877,0.0,0,0,1.0,0
14499,608,41.0,545.0,1935,0.0,2,0,1.0,0
14534,2,1.0,1.0,999,0.0,0,0,0.0,0
14535,339,31.0,296.0,999,0.0,0,0,1.0,0
14540,369,43.0,302.0,791,21.766234285,0,0,0.5,5
14621,2,1.0,1.0,1788,0.0,0,0,0.0,0
